Subject_Sample	K=3	K=4	K=5	K=6	K=7	K=8	K=9	K=10
AP01_1	B	B	B	B	B	B	B	B
AP01_2	A	A	A	A	A	A	A	A
AP01_3	A	A	A	A	A	A	A	A
AP02_1	B	B	B	B	B	B	B	B
AP02_2	A	A	A	A	A	A	A	A
AP02_3	A	A	A	A	A	A	A	A
AP03_1	B	B	B	B	B	B	B	B
AP03_2	A	A	A	A	A	A	A	A
AP03_3	B	B	B	B	B	B	B	B
AP04_1	B	B	B	B	B	B	B	B
AP04_2	B	B	B	B	B	B	B	B
AP04_3	B	B	B	B	B	B	B	B
AP06_1	B	B	B	B	B	B	B	B
AP06_2	B	B	B	B	B	B	B	B
AP06_3	B	B	B	B	B	B	B	B
AP08_1	B	B	B	B	B	B	B	B
AP08_2	A	A	A	A	A	A	A	A
AP09_1	B	B	B	B	B	B	B	B
AP09_2	B	B	B	B	B	B	B	B
AP09_3	B	B	B	B	B	B	B	B
AP10_1	B	B	B	B	B	B	B	B
AP10_2	A	A	A	A	A	A	A	A
AP10_3	B	B	B	B	B	B	B	B
AP11_1	A	A	A	A	A	A	A	A
AP11_2	A	A	A	A	A	A	A	A
AP11_3	A	A	A	A	A	A	A	A
AP12_1	B	B	B	B	B	B	B	B
AP12_2	B	B	B	B	B	B	B	B
AP12_3	B	B	B	B	B	B	B	B
AP13_1	B	B	B	B	B	B	B	B
AP13_2	B	B	B	B	B	B	B	B
AP13_3	B	B	B	B	B	B	B	B
AP14_1	B	B	B	B	B	B	B	B
AP14_2	A	A	A	A	A	A	A	A
AP14_3	A	A	A	A	A	A	A	A
AP19_1	B	B	B	B	B	B	B	B
AP19_2	B	B	B	B	B	B	B	B
AP19_3	B	B	B	B	B	B	B	B
AP20_1	B	B	B	B	B	B	B	B
AP20_3	A	A	A	A	A	A	A	A
AP22_1	B	B	B	B	B	B	B	B
AP22_3	B	B	B	B	B	B	B	B
AP24_1	B	B	B	B	B	B	B	B
AP24_2	A	A	A	A	A	A	A	A
AP24_3	B	B	B	B	B	A	A	A
AP25_1	B	B	B	B	B	B	B	B
AP25_2	A	A	A	A	A	A	A	A
AP25_3	A	A	A	A	A	A	A	A
AP26_1	B	B	B	B	B	B	B	B
AP26_2	A	A	A	A	A	A	A	A
AP26_3	A	A	A	A	A	A	A	A
AP27_1	B	B	B	B	B	B	B	B
AP27_2	A	A	A	A	A	A	A	A
AP27_3	B	B	B	B	B	B	B	B
AP28_1	B	B	B	B	B	B	B	B
AP28_2	A	A	A	A	A	A	A	A
AP28_3	B	B	B	B	B	B	B	B
AP29_1	A	A	A	A	A	A	A	A
AP29_2	A	A	A	A	A	A	A	A
AP29_3	A	A	A	A	A	A	A	A
AP33_1	A	A	A	A	A	A	A	A
AP33_2	A	A	A	A	A	A	A	A
AP33_3	A	A	A	A	A	A	A	A
AP34_1	B	B	B	B	B	B	B	B
AP34_2	A	A	A	A	A	A	A	A
AP34_3	B	B	B	B	B	B	B	B
AP35_1	B	B	B	B	B	B	B	B
AP35_2	B	B	B	B	B	B	B	B
AP35_3	B	B	B	B	B	B	B	B
AP36_1	B	B	B	B	B	B	B	B
AP36_2	A	A	A	A	A	A	A	A
AP36_3	A	A	A	A	A	A	A	A
AP37_1	B	B	B	B	B	B	B	B
AP37_3	B	B	B	B	B	B	B	B
AP38_2	A	A	A	A	A	A	A	A
AP38_3	B	B	B	B	B	B	B	B
AP39_1	B	B	B	B	B	B	B	B
AP39_2	B	B	B	B	B	B	B	B
AP39_3	B	B	B	B	B	B	B	B
AP40_1	B	B	B	B	B	B	B	B
AP40_2	A	A	A	A	A	A	A	A
AP40_3	B	B	B	B	B	B	B	B
AP41_1	B	B	B	B	B	B	B	B
AP41_2	A	A	A	A	A	A	A	A
AP41_3	A	A	A	A	A	A	A	A
AP42_1	B	B	B	B	B	B	B	B
AP42_3	A	A	A	A	A	A	A	A
AP43_1	B	B	B	B	B	B	B	B
AP43_2	A	A	A	A	A	A	A	A
AP43_3	A	A	A	A	A	A	A	A
AP46_1	B	B	B	B	B	B	B	B
AP46_3	A	A	A	A	A	A	A	A
AP47_1	B	B	B	B	B	B	B	B
AP47_2	A	A	A	A	A	A	A	A
AP47_3	B	B	B	B	B	B	B	B
AP48_1	B	B	B	B	B	B	B	B
AP48_2	A	A	A	A	A	A	A	A
AP48_3	A	A	A	A	A	A	A	A
AP49_1	A	A	A	A	A	A	A	A
AP49_2	A	A	A	A	A	A	A	A
AP49_3	B	B	B	B	B	B	B	B
AP50_1	B	B	B	B	B	B	B	B
AP50_2	B	B	B	B	B	B	B	B
AP51_1	A	A	A	A	A	A	A	A
AP51_2	A	A	A	A	A	A	A	A
AP51_3	A	A	A	A	A	A	A	A
