Gene stable ID	NCBI gene ID	HGNC symbol
ENSG00000004660	84254	CAMKK1
ENSG00000004799	5166	PDK4
ENSG00000005249	5577	PRKAR2B
ENSG00000005882	5164	PDK2
ENSG00000006831	79602	ADIPOR2
ENSG00000011198	51099	ABHD5
ENSG00000014641	4190	MDH1
ENSG00000025434	10062	NR1H3
ENSG00000029639	51106	TFB1M
ENSG00000051382	5291	PIK3CB
ENSG00000059804	6515	SLC2A3
ENSG00000060762	51660	MPC1
ENSG00000060971	30	ACAA1
ENSG00000062485	1431	CS
ENSG00000064489	4207	BORCS8-MEF2B
ENSG00000065833	4199	ME1
ENSG00000066044	1994	ELAVL1
ENSG00000067057	5214	PFKP
ENSG00000067225	5315	PKM
ENSG00000067829	3421	IDH3G
ENSG00000067992	5165	PDK3
ENSG00000068305	4205	MEF2A
ENSG00000068366	2182	ACSL4
ENSG00000072062	5566	PRKACA
ENSG00000072310	6720	SREBF1
ENSG00000072778	37	ACADVL
ENSG00000073578	6389	SDHA
ENSG00000074800	2023	ENO1
ENSG00000075239	38	ACAT1
ENSG00000076555	32	ACACB
ENSG00000078142	5289	PIK3C3
ENSG00000079435	3991	LIPE
ENSG00000081189	4208	MEF2C
ENSG00000082146	55437	STRADB
ENSG00000082701	2932	GSK3B
ENSG00000083807	10998	SLC27A5
ENSG00000084676	8648	NCOA1
ENSG00000084754	3030	HADHA
ENSG00000087008	8310	ACOX3
ENSG00000091140	1738	DLD
ENSG00000091483	2271	FH
ENSG00000093144	55862	ECHDC1
ENSG00000095321	1384	CRAT
ENSG00000095637	10580	SORBS1
ENSG00000096717	23411	SIRT1
ENSG00000099194	6319	SCD
ENSG00000100075	6576	SLC25A1
ENSG00000100288	1120	CHKB
ENSG00000100393	2033	EP300
ENSG00000100412	50	ACO2
ENSG00000100644	3091	HIF1A
ENSG00000100889	5106	PCK2
ENSG00000100979	5360	PLTP
ENSG00000101076	3172	HNF4A
ENSG00000101365	3420	IDH3B
ENSG00000102144	5230	PGK1
ENSG00000103197	7249	TSC2
ENSG00000103319	29904	EEF2K
ENSG00000103740	23205	ACSBG1
ENSG00000104325	1666	DECR1
ENSG00000104812	2997	GYS1
ENSG00000104823	1891	ECH1
ENSG00000105220	2821	GPI
ENSG00000105221	208	AKT2
ENSG00000105607	2639	GCDH
ENSG00000105647	5296	PIK3R2
ENSG00000105851	5294	PIK3CG
ENSG00000105953	4967	OGDH
ENSG00000106459	4899	NRF1
ENSG00000106617	51422	PRKAG2
ENSG00000106633	2645	GCK
ENSG00000107758	5532	PPP3CB
ENSG00000108064	7019	TFAM
ENSG00000108443	6198	RPS6KB1
ENSG00000108515	2027	ENO3
ENSG00000108946	5573	PRKAR1A
ENSG00000109107	230	ALDOC
ENSG00000109424	7350	UCP1
ENSG00000109819	10891	PPARGC1A
ENSG00000110090	1374	CPT1A
ENSG00000110243	116519	APOA5
ENSG00000110245	345	APOC3
ENSG00000110435	8050	PDHX
ENSG00000110931	10645	CAMKK2
ENSG00000111640	2597	GAPDH
ENSG00000111669	7167	TPI1
ENSG00000111674	2026	ENO2
ENSG00000111713	2998	GYS2
ENSG00000111716	3945	LDHB
ENSG00000111725	5564	PRKAB1
ENSG00000112033	5467	PPARD
ENSG00000112062	1432	MAPK14
ENSG00000113161	3156	HMGCR
ENSG00000113396	28965	SLC27A6
ENSG00000113790	1962	EHHADH
ENSG00000114302	5576	PRKAR2A
ENSG00000115159	2820	GPD2
ENSG00000115361	33	ACADL
ENSG00000115425	55825	PECR
ENSG00000115592	53632	PRKAG3
ENSG00000115966	1386	ATF2
ENSG00000116171	6342	SCP2
ENSG00000116353	51102	MECR
ENSG00000116478	3065	HDAC1
ENSG00000116604	4209	MEF2D
ENSG00000116678	3953	LEPR
ENSG00000117020	10000	AKT3
ENSG00000117054	34	ACADM
ENSG00000117118	6390	SDHB
ENSG00000117394	6513	SLC2A1
ENSG00000117461	8503	PIK3R3
ENSG00000118046	6794	STK11
ENSG00000118137	335	APOA1
ENSG00000118260	1385	CREB1
ENSG00000118689	2309	FOXO3
ENSG00000119689	1743	DLST
ENSG00000120053	2805	GOT1
ENSG00000120907	148	ADRA1A
ENSG00000120910	5533	PPP3CC
ENSG00000121310	55268	ECHDC2
ENSG00000121769	2170	FABP3
ENSG00000121879	5290	PIK3CA
ENSG00000122971	35	ACADS
ENSG00000123983	2181	ACSL3
ENSG00000124253	5105	PCK1
ENSG00000124762	1026	CDKN1A
ENSG00000125166	2806	GOT2
ENSG00000125520	56731	SLC2A4RG
ENSG00000125686	5469	MED1
ENSG00000126457	3276	PRMT1
ENSG00000127884	1892	ECHS1
ENSG00000129965	723961	INS-IGF2
ENSG00000130304	376497	SLC27A1
ENSG00000130377	81616	ACSBG2
ENSG00000130957	8789	FBP2
ENSG00000131069	55902	ACSS2
ENSG00000131473	47	ACLY
ENSG00000131482	2538	G6PC
ENSG00000131791	5565	PRKAB2
ENSG00000131828	5160	PDHA1
ENSG00000132170	5468	PPARG
ENSG00000132356	5562	PRKAA1
ENSG00000132382	10514	MYBBP1A
ENSG00000133101	8900	CCNA1
ENSG00000134057	891	CCNB1
ENSG00000134240	3158	HMGCS2
ENSG00000134333	3939	LDHA
ENSG00000134463	79746	ECHDC3
ENSG00000134824	9415	FADS2
ENSG00000135218	948	CD36
ENSG00000135245	29923	HILPDA
ENSG00000135929	1593	CYP27A1
ENSG00000135932	51719	CAB39
ENSG00000136143	8803	SUCLA2
ENSG00000136872	229	ALDOB
ENSG00000138029	3032	HADHB
ENSG00000138678	84803	GPAT3
ENSG00000138796	3033	HADH
ENSG00000138814	5530	PPP3CA
ENSG00000140284	11001	SLC27A2
ENSG00000140992	5170	PDPK1
ENSG00000141510	7157	TP53
ENSG00000141564	57521	RPTOR
ENSG00000141959	5211	PFKL
ENSG00000142082	23410	SIRT3
ENSG00000142208	207	AKT1
ENSG00000142583	6518	SLC2A5
ENSG00000142875	5567	PRKACB
ENSG00000143158	25874	MPC2
ENSG00000143171	6258	RXRG
ENSG00000143252	6391	SDHC
ENSG00000143627	5313	PKLR
ENSG00000145384	2169	FABP2
ENSG00000145386	890	CCNA2
ENSG00000145675	5295	PIK3R1
ENSG00000146701	4191	MDH2
ENSG00000148660	818	CAMK2G
ENSG00000148840	23082	PPRC1
ENSG00000149925	226	ALDOA
ENSG00000150768	1737	DLAT
ENSG00000150907	2308	FOXO1
ENSG00000151726	2180	ACSL1
ENSG00000152256	5163	PDK1
ENSG00000152495	814	CAMK4
ENSG00000152556	5213	PFKM
ENSG00000154727	2551	GABPA
ENSG00000155368	1622	DBI
ENSG00000155846	133522	PPARGC1B
ENSG00000156515	3098	HK1
ENSG00000157184	1376	CPT2
ENSG00000158874	336	APOA2
ENSG00000159346	51094	ADIPOR1
ENSG00000159399	3099	HK2
ENSG00000160741	200186	CRTC2
ENSG00000160883	3101	HK3
ENSG00000161533	51	ACOX1
ENSG00000162409	5563	PRKAA2
ENSG00000162851	64216	TFB2M
ENSG00000163541	8802	SUCLG1
ENSG00000163581	6514	SLC2A2
ENSG00000163586	2168	FABP1
ENSG00000164398	23305	ACSL6
ENSG00000164434	2173	FABP7
ENSG00000164687	2171	FABP5
ENSG00000164708	5224	PGAM2
ENSG00000165059	5568	PRKACG
ENSG00000165140	2203	FBP1
ENSG00000165269	364	AQP7
ENSG00000165269	112267859	AQP7
ENSG00000165699	7248	TSC1
ENSG00000166035	3990	LIPC
ENSG00000166333	3611	ILK
ENSG00000166411	3419	IDH3A
ENSG00000166796	3948	LDHC
ENSG00000166819	5346	PLIN1
ENSG00000167114	10999	SLC27A4
ENSG00000167315	10449	ACAA2
ENSG00000167588	2819	GPD1
ENSG00000167658	1938	EEF2
ENSG00000167772	51129	ANGPTL4
ENSG00000167910	1581	CYP7A1
ENSG00000167969	1632	ECI1
ENSG00000168291	5162	PDHB
ENSG00000168306	8309	ACOX2
ENSG00000169169	126129	CPT1C
ENSG00000169710	2194	FASN
ENSG00000170214	147	ADRA1B
ENSG00000170231	2172	FABP6
ENSG00000170323	2167	FABP4
ENSG00000170525	5209	PFKFB3
ENSG00000170950	5232	PGK2
ENSG00000171105	3643	INSR
ENSG00000171314	5223	PGAM1
ENSG00000171608	5293	PIK3CD
ENSG00000171989	92483	LDHAL6B
ENSG00000172340	8801	SUCLG2
ENSG00000173153	2101	ESRRA
ENSG00000173391	4973	OLR1
ENSG00000173599	5091	PC
ENSG00000174697	3952	LEP
ENSG00000175445	4023	LPL
ENSG00000175564	7352	UCP3
ENSG00000175567	7351	UCP2
ENSG00000175634	6199	RPS6KB2
ENSG00000177666	57104	PNPLA2
ENSG00000178537	788	SLC25A20
ENSG00000180432	1582	CYP8B1
ENSG00000181092	9370	ADIPOQ
ENSG00000181856	6517	SLC2A4
ENSG00000181929	5571	PRKAG1
ENSG00000182054	3418	IDH2
ENSG00000182333	8513	LIPF
ENSG00000182621	23236	PLCB1
ENSG00000182621	105372522	PLCB1
ENSG00000186350	6256	RXRA
ENSG00000186951	5465	PPARA
ENSG00000187048	1579	CYP4A11
ENSG00000187840	1978	EIF4EBP1
ENSG00000188191	5575	PRKAR1B
ENSG00000188386	5535	PPP3R2
ENSG00000196475	2712	GK2
ENSG00000196611	4312	MMP1
ENSG00000197142	51703	ACSL5
ENSG00000198793	2475	MTOR
ENSG00000198814	2710	GK
ENSG00000204231	6257	RXRB
ENSG00000204370	6392	SDHD
ENSG00000205560	1375	CPT1B
ENSG00000206289	6257	RXRB
ENSG00000213999	100271849	MEF2B
ENSG00000221823	5534	PPP3R1
ENSG00000227322	6257	RXRB
ENSG00000228333	6257	RXRB
ENSG00000231321	6257	RXRB
ENSG00000235712	6257	RXRB
ENSG00000248098	593	BCKDHA
ENSG00000262785	5313	PKLR
ENSG00000266173	92335	STRADA
ENSG00000275176	31	ACACA
ENSG00000275199	10000	AKT3
ENSG00000278139	8503	
ENSG00000278139	110117499	
ENSG00000278540	31	ACACA
ENSG00000282019	2821	GPI
ENSG00000282853	1891	ECH1
ENSG00000284015	100302237	MIR1281
ENSG00000284096	5577	PRKAR2B
ENSG00000284161	29904	EEF2K
ENSG00000285043	226	
ENSG00000285070	79602	ADIPOR2
ENSG00000285241	5106	PCK2
